Day,Total_Cases,Cases_Distribution1,Cases_Distribution2
0,1.1108996538242306,1.1108996538242306,0.0
1,2.2794180883612345,2.2794180883612345,0.0
2,4.393693362340742,4.393693362340742,0.0
3,7.955950871822768,7.955950871822768,0.0
4,13.53352832366127,13.53352832366127,0.0
5,21.62651668298873,21.62651668298873,0.0
6,32.465246735834974,32.465246735834974,0.0
7,45.783336177161424,45.783336177161424,0.0
8,60.653065971263345,60.653065971263345,0.0
9,75.48396019890073,75.48396019890073,0.0
10,88.24969025845955,88.24969025845955,0.0
11,96.92332344763442,96.92332344763442,0.0
12,100.0,100.0,0.0
13,96.92332344763442,96.92332344763442,0.0
14,88.24969025845955,88.24969025845955,0.0
15,75.48396019890073,75.48396019890073,0.0
16,60.653065971263345,60.653065971263345,0.0
17,45.783336177161424,45.783336177161424,0.0
18,32.465246735834974,32.465246735834974,0.0
19,21.62651668298873,21.62651668298873,0.0
20,13.53352832366127,13.53352832366127,0.0
21,7.955950871822768,7.955950871822768,0.0
22,4.393693362340742,4.393693362340742,0.0
23,2.2794180883612345,2.2794180883612345,0.0
24,1.1108996538242306,1.1108996538242306,0.0
25,0.1184630194751238,0.0,0.1184630194751238
26,2.299246507321515,0.0,2.299246507321515
27,10.589966585169623,0.0,10.589966585169623
28,27.06705664732254,0.0,27.06705664732254
29,50.100707167907004,0.0,50.100707167907004
30,75.61411008369343,0.0,75.61411008369343
31,99.12644983963033,0.0,99.12644983963033
32,117.22008888789877,0.0,117.22008888789877
33,128.12014386458412,0.0,128.12014386458412
34,131.600527325888,0.0,131.600527325888
35,128.55051307345246,0.0,128.55051307345246
36,120.46735578598496,0.0,120.46735578598496
37,109.02665005434012,0.0,109.02665005434012
38,95.78750121921713,0.0,95.78750121921713
39,82.03094601191626,0.0,82.03094601191626
40,68.70274619443441,0.0,68.70274619443441
41,56.4249976598333,0.0,56.4249976598333
42,45.545159509464696,0.0,45.545159509464696
43,36.1993244400597,0.0,36.1993244400597
44,28.374956101553092,0.0,28.374956101553092
45,21.96516412612337,0.0,21.96516412612337
46,16.8114100873116,0.0,16.8114100873116
47,12.734522856033507,0.0,12.734522856033507
48,9.555479051896032,0.0,9.555479051896032
49,7.108026832730626,0.0,7.108026832730626
