Day,Total_Cases,Cases_Variant1,Cases_Variant2
0,2.233631436203166e-07,2.233631436203166e-07,0.0
1,3.879522352578383e-07,3.879522352578383e-07,0.0
2,6.691586091292782e-07,6.691586091292782e-07,0.0
3,1.1462093510304308e-06,1.1462093510304308e-06,0.0
4,1.9497677860172305e-06,1.9497677860172305e-06,0.0
5,3.293714110306081e-06,3.293714110306081e-06,0.0
6,5.525517720366712e-06,5.525517720366712e-06,0.0
7,9.205430804441117e-06,9.205430804441117e-06,0.0
8,1.5229979744712628e-05,1.5229979744712628e-05,0.0
9,2.5022955278849417e-05,2.5022955278849417e-05,0.0
10,4.082836041142503e-05,4.082836041142503e-05,0.0
11,6.615601637697701e-05,6.615601637697701e-05,0.0
12,0.00010645371411076024,0.00010645371411076024,0.0
13,0.0001701125507793407,0.0001701125507793407,0.0
14,0.0002699578503363014,0.0002699578503363014,0.0
15,0.00042544128507018364,0.00042544128507018364,0.0
16,0.0006658361469857315,0.0006658361469857315,0.0
17,0.0010348542111093754,0.0010348542111093754,0.0
18,0.0015972578828343162,0.0015972578828343162,0.0
19,0.0024482455575481955,0.0024482455575481955,0.0
20,0.003726653172078671,0.003726653172078671,0.0
21,0.005633354002903864,0.005633354002903864,0.0
22,0.008456665968701106,0.008456665968701106,0.0
23,0.012607105177048522,0.012607105177048522,0.0
24,0.01866446911352057,0.01866446911352057,0.0
25,0.027441002480658706,0.027441002480658706,0.0
26,0.04006529739295107,0.04006529739295107,0.0
27,0.058092602707422926,0.058092602707422926,0.0
28,0.08364834722972753,0.08364834722972753,0.0
29,0.11961288358102437,0.11961288358102437,0.0
30,0.16985667656141068,0.16985667656141068,0.0
31,0.2395363074928571,0.2395363074928571,0.0
32,0.33546262790251186,0.33546262790251186,0.0
33,0.4665530201723777,0.4665530201723777,0.0
34,0.6443798205686081,0.6443798205686081,0.0
35,0.8838263069350499,0.8838263069350499,0.0
36,1.203859994828203,1.203859994828203,0.0
37,1.6284300482412108,1.6284300482412108,0.0
38,2.187491118182885,2.187491118182885,0.0
39,2.9181496194009418,2.9181496194009418,0.0
40,3.8659201394728075,3.8659201394728075,0.0
41,5.086069231012701,5.086069231012701,0.0
42,6.645011282741399,6.645011282741399,0.0
43,8.621706688299524,8.621706688299524,0.0
44,11.108996538242305,11.108996538242305,0.0
45,14.214791206736985,14.214791206736985,0.0
46,18.063013419781274,18.063013419781274,0.0
47,22.794180883612345,22.794180883612345,0.0
48,28.565500784550377,28.565500784550377,0.0
49,35.550340114781115,35.550340114781115,0.0
50,43.93693362340742,43.93693362340742,0.0
51,53.92619703062285,53.92619703062285,0.0
52,65.72852861653047,65.72852861653047,0.0
53,79.55950871822769,79.55950871822769,0.0
54,95.6344448325386,95.6344448325386,0.0
55,114.16176000968694,114.16176000968694,0.0
56,135.3352832366127,135.3352832366127,0.0
57,159.32557073921532,159.32557073921532,0.0
58,186.2704636977009,186.2704636977009,0.0
59,216.2651668298873,216.2651668298873,0.0
60,249.35220877729623,249.35220877729623,0.0
61,285.51171363831907,285.51171363831907,0.0
62,324.6524673583497,324.6524673583497,0.0
63,366.6042970736738,366.6042970736738,0.0
64,411.1122905071874,411.1122905071874,0.0
65,457.83336177161425,457.83336177161425,0.0
66,506.33561664810054,506.33561664810054,0.0
67,556.1008837732087,556.1008837732087,0.0
68,606.5306597126335,606.5306597126335,0.0
69,656.9555696492685,656.9555696492685,0.0
70,706.6482778577163,706.6482778577163,0.0
71,754.8396019890073,754.8396019890073,0.0
72,800.737402916808,800.737402916808,0.0
73,843.5476490642345,843.5476490642345,0.0
74,882.4969025845954,882.4969025845954,0.0
75,916.8553557320289,916.8553557320289,0.0
76,945.9594689067654,945.9594689067654,0.0
77,969.2332344763441,969.2332344763441,0.0
78,986.2071167439162,986.2071167439162,0.0
79,996.533798970369,996.533798970369,0.0
80,1000.0,1000.0,0.0
81,996.533798970369,996.533798970369,0.0
82,986.2071167439162,986.2071167439162,0.0
83,969.2332344763441,969.2332344763441,0.0
84,945.9594689067654,945.9594689067654,0.0
85,916.8553557320289,916.8553557320289,0.0
86,882.4969025845954,882.4969025845954,0.0
87,843.5476490642345,843.5476490642345,0.0
88,800.737402916808,800.737402916808,0.0
89,754.8396019890073,754.8396019890073,0.0
90,706.6482778577163,706.6482778577163,0.0
91,656.9555696492685,656.9555696492685,0.0
92,606.5306597126335,606.5306597126335,0.0
93,556.1008837732087,556.1008837732087,0.0
94,506.33561664810054,506.33561664810054,0.0
95,457.83336177161425,457.83336177161425,0.0
96,411.1122905071874,411.1122905071874,0.0
97,366.6042970736738,366.6042970736738,0.0
98,324.6524673583497,324.6524673583497,0.0
99,285.51171363831907,285.51171363831907,0.0
100,249.35220877729623,249.35220877729623,0.0
101,216.2651668298873,216.2651668298873,0.0
102,186.2704636977009,186.2704636977009,0.0
103,159.32557073921532,159.32557073921532,0.0
104,135.3352832366127,135.3352832366127,0.0
105,114.16176000968694,114.16176000968694,0.0
106,95.6344448325386,95.6344448325386,0.0
107,79.55950871822769,79.55950871822769,0.0
108,65.72852861653047,65.72852861653047,0.0
109,53.92619703062285,53.92619703062285,0.0
110,43.93693362340742,43.93693362340742,0.0
111,35.550340114781115,35.550340114781115,0.0
112,28.565500784550377,28.565500784550377,0.0
113,22.794180883612345,22.794180883612345,0.0
114,18.063013419781274,18.063013419781274,0.0
115,14.214791206736985,14.214791206736985,0.0
116,11.108996538242305,11.108996538242305,0.0
117,8.621706688299524,8.621706688299524,0.0
118,6.645011282741399,6.645011282741399,0.0
119,5.086069231012701,5.086069231012701,0.0
120,3.8659201394728075,3.8659201394728075,0.0
121,2.9181496194009418,2.9181496194009418,0.0
122,2.187491118182885,2.187491118182885,0.0
123,1.6284300482412108,1.6284300482412108,0.0
124,1.203859994828203,1.203859994828203,0.0
125,4.296596106406449,1.203859994828203,3.092736111578246
126,5.272715379638363,1.203859994828203,4.068855384810161
