Day,Total_Cases,Cases_Distribution1,Cases_Distribution2
0,0.00037266531720786707,0.00037266531720786707,0.0
1,0.0006113567966371402,0.0006113567966371402,0.0
2,0.0009929504305851082,0.0009929504305851082,0.0
3,0.0015966783897804746,0.0015966783897804746,0.0
4,0.0025419346516199247,0.0025419346516199247,0.0
5,0.004006529739295107,0.004006529739295107,0.0
6,0.006252150377482026,0.006252150377482026,0.0
7,0.0096593413722184,0.0096593413722184,0.0
8,0.014774836023203364,0.014774836023203364,0.0
9,0.022374579372062057,0.022374579372062057,0.0
10,0.033546262790251184,0.033546262790251184,0.0
11,0.049795542150327346,0.049795542150327346,0.0
12,0.07318024188804728,0.07318024188804728,0.0
13,0.10647662366679204,0.10647662366679204,0.0
14,0.1533810679324463,0.1533810679324463,0.0
15,0.21874911181828852,0.21874911181828852,0.0
16,0.30887154082367685,0.30887154082367685,0.0
17,0.4317840007633078,0.4317840007633078,0.0
18,0.5976022895005942,0.5976022895005942,0.0
19,0.8188701014374083,0.8188701014374083,0.0
20,1.1108996538242306,1.1108996538242306,0.0
21,1.4920786069067842,1.4920786069067842,0.0
22,1.9841094744370287,1.9841094744370287,0.0
23,2.6121409853918234,2.6121409853918234,0.0
24,3.4047454734599345,3.4047454734599345,0.0
25,4.393693362340742,4.393693362340742,0.0
26,5.613476283413372,5.613476283413372,0.0
27,7.100535373963698,7.100535373963698,0.0
28,8.892161745938635,8.892161745938635,0.0
29,11.025052530448521,11.025052530448521,0.0
30,13.53352832366127,13.53352832366127,0.0
31,16.44744565771549,16.44744565771549,0.0
32,19.789869908361464,19.789869908361464,0.0
33,23.57460765558635,23.57460765558635,0.0
34,27.803730045319412,27.803730045319412,0.0
35,32.465246735834974,32.465246735834974,0.0
36,37.531109885139955,37.531109885139955,0.0
37,42.955735821073915,42.955735821073915,0.0
38,48.67522559599717,48.67522559599717,0.0
39,54.60744266397094,54.60744266397094,0.0
40,60.653065971263345,60.653065971263345,0.0
41,66.69768108584744,66.69768108584744,0.0
42,72.6149037073691,72.6149037073691,0.0
43,78.27045382418682,78.27045382418682,0.0
44,83.5270211411272,83.5270211411272,0.0
45,88.24969025845955,88.24969025845955,0.0
46,92.31163463866358,92.31163463866358,0.0
47,95.59974818331,95.59974818331,0.0
48,98.01986733067552,98.01986733067552,0.0
49,99.50124791926824,99.50124791926824,0.0
50,100.0,100.0,0.0
