Day,Observed_Cases,True_Cases,Variant1,Variant2,Weight_w
1,0.0,1.9841094744370287,1.9841094744370287,0.0,7.667648073722e-53
2,0.8959602555372519,3.4047454734599345,3.4047454734599345,0.0,1.1379798735078682e-50
3,10.190486871923742,5.613476283413372,5.613476283413372,0.0,1.6889118802245324e-48
4,10.535917294237057,8.892161745938635,8.892161745938635,0.0,2.506567475899953e-46
5,10.884727304826077,13.53352832366127,13.53352832366127,0.0,3.7200759760208356e-44
6,22.356207073928246,19.789869908361464,19.789869908361464,0.0,5.5210822770285325e-42
7,28.289117792059614,27.803730045319412,27.803730045319412,0.0,8.194012623990515e-40
8,42.3743348378044,37.531109885139955,37.531109885139955,0.0,1.2160992992528256e-37
9,45.16496012661041,48.67522559599717,48.67522559599717,0.0,1.8048513878454153e-35
10,59.0147552382745,60.653065971263345,60.653065971263345,0.0,2.678636961808078e-33
11,70.65436294170831,72.6149037073691,72.6149037073691,0.0,3.975449735908647e-31
12,76.2094464004666,83.5270211411272,83.5270211411272,0.0,5.900090541597061e-29
13,93.79223602398646,92.31163463866358,92.31163463866358,0.0,8.75651076269652e-27
14,99.32514369157497,98.01986733067552,98.01986733067552,0.0,1.299581425007503e-24
15,100.02556728321231,100.0,100.0,0.0,1.928749847963918e-22
16,96.8469316637998,98.01986733067552,98.01986733067552,0.0,2.8625185805493937e-20
17,85.23478092841151,92.31163463866358,92.31163463866358,0.0,4.248354255291589e-18
18,81.4237945273004,83.5270211411272,83.5270211411272,0.0,6.305116760146985e-16
19,70.90133112473525,72.6149037073691,72.6149037073691,0.0,9.357622968839299e-14
20,56.64167962515525,60.653065971263345,60.653065971263345,0.0,1.3887943864771144e-11
21,47.86879703766712,48.67522559599717,48.67522559599717,0.0,2.0611536181902037e-09
22,39.55136416921265,37.531109885139955,37.531109885139955,0.0,3.059022269256247e-07
23,37.23465955137206,27.803730045319412,27.803730045319412,0.0,4.5397868702434395e-05
24,20.66275897252066,19.789869908361464,19.789869908361464,0.0,0.0066928509242848554
25,14.821280277275093,13.53352832366127,13.53352832366127,0.0,0.5
26,66.885157222333,67.25738680116385,8.892161745938635,58.36522505522521,0.9933071490757153
27,102.6470488655419,112.2409049420371,5.613476283413372,106.62742865862373,0.9999546021312976
28,153.2264167024513,153.3589860796974,3.4047454734599345,149.95424060623745,0.999999694097773
29,191.21537273455016,190.91422168484502,1.9841094744370287,188.930112210408,0.9999999979388463
30,402.74279007021477,390.42657950778835,1.1108996538242306,389.3156798539641,0.999999999986112
31,370.4332021955356,371.3950070194412,0.5976022895005942,370.79740472994064,0.9999999999999065
32,341.4779409075471,339.97020419587903,0.30887154082367685,339.66133265505533,0.9999999999999993
33,349.30211540708,349.47567425560624,0.1533810679324463,349.3222931876738,1.0
34,604.5011038163206,610.3444940044183,0.07318024188804728,610.2713137625302,1.0
35,778.224753812081,772.5106397395059,0.033546262790251184,772.4770934767157,1.0
36,827.9850214734809,824.225356310047,0.014774836023203364,824.2105814740238,1.0
37,497.2787842250177,493.32362448980246,0.006252150377482026,493.317372339425,1.0
38,643.4062969365809,647.9532342105546,0.0025419346516199247,647.950692275903,1.0
39,663.8875918398212,656.8736202851406,0.0009929504305851082,656.87262733471,1.0
40,773.6161425181583,780.6253978321197,0.00037266531720786707,780.6250251668025,1.0
41,1158.5688739315815,1155.63458846258,0.00013438122776315213,1155.6344540813523,1.0
42,1458.4104479022421,1447.4581697731921,4.6557157157830866e-05,1447.458123216035,1.0
43,1121.1829579051446,1126.135639530798,1.5497531357028968e-05,1126.1356240332666,1.0
44,836.5531614496139,839.3846500976277,4.956405319172498e-06,839.3846451412224,1.0
45,1096.3862480810724,1095.8879912556342,1.522997974471263e-06,1095.8879897326362,1.0
46,1897.5060954887688,1900.0234737593498,4.49634946228087e-07,1900.023473309715,1.0
47,1248.9514968184596,1256.7048139737904,1.275407629526044e-07,1256.7048138462496,1.0
48,1150.8401061577608,1150.4972912837306,3.475891281239922e-08,1150.4972912489718,1.0
49,1229.0061041453719,1234.3176227140025,9.101470764487935e-09,1234.317622704901,1.0
50,1564.1376212401856,1561.7696590870096,2.289734845645553e-09,1561.76965908472,1.0
